企業ID,企業名,メールアドレス,募集職種,メール用職種,送信日時,送信結果,トラッキングID,エラーメッセージ,件名,担当者メールアドレス,送信エラー
472,株式会社タカギ建築工房,info@takagi-kk.com,新築等の内装施工管理,新築等の内装施工管理,2025-06-24 10:57:41,success,482_info@takagi-kk.com_20250624105741_fb5e7c6d,,【新築等の内装施工管理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
473,イワタニ近畿株式会社,info@iwatani-kinki.co.jp,営業職,営業職,2025-06-24 10:57:46,success,483_info@iwatani-kinki.co.jp_20250624105746_d4580529,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
474,株式会社ブルービルド,info@bluebuild.co.jp,管理スタッフ,管理スタッフ,2025-06-24 10:57:51,success,484_info@bluebuild.co.jp_20250624105751_f61260a7,,【管理スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
475,株式会社福壽堂秀信,info@fukujudo-hidenobu.co.jp,和菓子製造スタッフ,和菓子製造スタッフ,2025-06-24 10:57:57,success,485_info@fukujudo-hidenobu.co.jp_20250624105756_088333ba,,【和菓子製造スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
476,株式会社システムトラスト,info@system-trust.com,ヘルプデスク,ヘルプデスク,2025-06-24 10:58:02,success,486_info@system-trust.com_20250624105802_b020e003,,【ヘルプデスクの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
477,株式会社アップロード,info@upload-gp.co.jp,ITエンジニア,ITエンジニア,2025-06-24 10:58:07,success,487_info@upload-gp.co.jp_20250624105807_d143329e,,【ITエンジニアの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
478,とりいし株式会社,info@kaka600.gorp.jp,店舗スタッフ,店舗スタッフ,2025-06-24 10:58:12,success,488_info@kaka600.gorp.jp_20250624105812_79e819c5,,【店舗スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
479,淀鋼商事株式会社,info@yodo-sho.co.jp,法人営業職,法人営業職,2025-06-24 10:58:17,success,489_info@yodo-sho.co.jp_20250624105817_c45b283f,,【法人営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
480,日本ICS株式会社,info@icsics.co.jp,テクニカルサポート・システム開発,テクニカルサポート・システム開発,2025-06-24 10:58:23,success,490_info@icsics.co.jp_20250624105822_b07ccbe7,,【テクニカルサポート・システム開発の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
481,株式会社Phoenixテクノロジーズ,info@phoenix-tecs.com,プログラマー,プログラマー,2025-06-24 10:58:28,success,492_info@phoenix-tecs.com_20250624105828_1bf1c68f,,【プログラマーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
482,株式会社エイジング,info@aging.sakura.ne.jp,ルート営業,ルート営業,2025-06-24 10:58:33,success,493_info@aging.sakura.ne.jp_20250624105833_3c599c8b,,【ルート営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
483,株式会社廣電,info@e-hiroden.co.jp,機械設計,機械設計,2025-06-24 10:58:38,success,494_info@e-hiroden.co.jp_20250624105838_2cffb910,,【機械設計の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
484,株式会社カトープレジャーグループ,info@kpg.gr.jp,調理スタッフ,調理スタッフ,2025-06-24 10:58:43,success,495_info@kpg.gr.jp_20250624105843_b2db2dc2,,【調理スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
485,株式会社Def tribe,info@e-deftribe.com,エンジニア,エンジニア,2025-06-24 10:58:48,success,496_info@e-deftribe.com_20250624105848_9e577ca8,,【エンジニアの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
486,株式会社ウィット,info@wi-t.co.jp,企画営業,企画営業,2025-06-24 10:58:54,success,497_info@wi-t.co.jp_20250624105853_aef7a157,,【企画営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
487,株式会社サンディ,recruit@m-sundi.jp,店舗スタッフ,店舗スタッフ,2025-06-24 10:58:59,success,498_recruit@m-sundi.jp_20250624105859_c3889ad9,,【店舗スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
488,株式会社ロードカー,info@roadcar.jp,営業職,営業職,2025-06-24 10:59:04,success,499_info@roadcar.jp_20250624105904_66b8140c,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
489,二次資源ホールディングス株式会社,info@srhd.jp,事務系総合職,事務系総合職,2025-06-24 10:59:09,success,500_info@srhd.jp_20250624105909_96444ea0,,【事務系総合職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
490,株式会社LIAL WORKS,info@cieofficial.jp,ルート営業,ルート営業,2025-06-24 11:02:12,success,501_info@cieofficial.jp_20250624110212_f401304e,,【ルート営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
491,アクシアロジ株式会社,info@axia-logi.co.jp,物流管理リーダー,物流管理リーダー,2025-06-24 11:02:17,success,502_info@axia-logi.co.jp_20250624110217_4270cebd,,【物流管理リーダーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
492,株式会社総合プランニング,info@sogop.co.jp,マーケティングリサーチ,マーケティングリサーチ,2025-06-24 11:02:23,success,503_info@sogop.co.jp_20250624110222_970dfd19,,【マーケティングリサーチの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
493,株式会社ギャラリーレア,info@galleryrare.co.jp,総合職,総合職,2025-06-24 11:02:28,success,504_info@galleryrare.co.jp_20250624110228_ae52469c,,【総合職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
494,関西日立株式会社,info@kansaihitachi.co.jp,営業職,営業職,2025-06-24 11:02:33,success,505_info@kansaihitachi.co.jp_20250624110233_48801987,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
495,関西日立株式会社,info@kansaihitachi.co.jp,監理技術者,監理技術者,2025-06-24 11:02:38,success,506_info@kansaihitachi.co.jp_20250624110238_8e957ada,,【監理技術者の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
496,株式会社パル,info@palgroup.co.jp,販売スタッフ,販売スタッフ,2025-06-24 11:02:43,success,507_info@palgroup.co.jp_20250624110243_2b01bc66,,【販売スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
497,明星建工株式会社,info@meisei-kenko.co.jp,施工管理職,施工管理職,2025-06-24 11:02:48,success,508_info@meisei-kenko.co.jp_20250624110248_6ebfd1af,,【施工管理職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
498,日本ノボパン工業株式会社,info@novopan.co.jp,製造職,製造職,2025-06-24 11:02:54,success,509_info@novopan.co.jp_20250624110253_dbf283ed,,【製造職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
499,七福鋼業株式会社,info@sichifuku.co.jp,製造スタッフ,製造スタッフ,2025-06-24 11:02:59,success,510_info@sichifuku.co.jp_20250624110259_4870572a,,【製造スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
500,太洋セツビ株式会社,info@omco-taiyo.co.jp,メンテナンス職,メンテナンス職,2025-06-24 11:03:04,success,511_info@omco-taiyo.co.jp_20250624110304_9c7a17b0,,【メンテナンス職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
501,株式会社500G,info@500g.jp,グラフィックデザイナー,グラフィックデザイナー,2025-06-24 11:03:09,success,512_info@500g.jp_20250624110309_f389292d,,【グラフィックデザイナーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
502,株式会社日本ユナイテッドエネルギー,info@nue-corp.co.jp,電気料金調査,電気料金調査,2025-06-24 11:03:14,success,513_info@nue-corp.co.jp_20250624110314_95d1c45e,,【電気料金調査の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
503,エイチアールディー株式会社,info@hrd-a.co.jp,法人営業職,法人営業職,2025-06-24 11:03:19,success,514_info@hrd-a.co.jp_20250624110319_95fae834,,【法人営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
504,センターフィールド株式会社,info@centerfield.co.jp,プロジェクトリーダー,プロジェクトリーダー,2025-06-24 11:03:25,success,515_info@centerfield.co.jp_20250624110324_1edb5876,,【プロジェクトリーダーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
505,東京・日本交通株式会社,info@tokyo-nihonkotsu.net,ドライバー,ドライバー,2025-06-24 11:03:30,success,516_info@tokyo-nihonkotsu.net_20250624110330_4996705a,,【ドライバーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
506,株式会社ニッカトー,h-saiyo@nikkato.co.jp,営業職,営業職,2025-06-24 11:03:36,success,517_h-saiyo@nikkato.co.jp_20250624110335_97ab7ec0,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
507,株式会社サンボード,info@sunboard.co.jp,イベントプランナー,イベントプランナー,2025-06-24 11:03:41,success,518_info@sunboard.co.jp_20250624110341_e289023f,,【イベントプランナーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
508,株式会社アクセル,info@axcell-inc.jp,事務スタッフ,事務スタッフ,2025-06-24 11:03:46,success,519_info@axcell-inc.jp_20250624110346_ac3cc81f,,【事務スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
509,株式会社 ヒラノ・スカイ・サポート,recruit@hirano-hss.co.jp,関西空港での地上支援業務,関西空港での地上支援業務,2025-06-24 11:03:51,success,520_recruit@hirano-hss.co.jp_20250624110351_e5cc7c08,,【関西空港での地上支援業務の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
510,株式会社モリヤ大阪,info@moriya-difit.co.jp,営業事務,営業事務,2025-06-24 11:03:59,success,521_info@moriya-difit.co.jp_20250624110356_2e5dcd6f,,【営業事務の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
511,株式会社中島大祥堂,info@nakajimataishodo.jp,営業職,営業職,2025-06-24 11:04:04,success,522_info@nakajimataishodo.jp_20250624110404_809779aa,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
512,株式会社Cloud Soft,info@cloudsoft.jp,ITエンジニア,ITエンジニア,2025-06-24 11:04:09,success,523_info@cloudsoft.jp_20250624110409_c4aa3774,,【ITエンジニアの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
513,丸協運輸株式会社,info@marukyo.jp,事務スタッフ,事務スタッフ,2025-06-24 11:04:14,success,524_info@marukyo.jp_20250624110414_8310f92e,,【事務スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
514,株式会社ワコーパレット,info@wako-pallet.co.jp,営業職,営業職,2025-06-24 11:04:19,success,525_info@wako-pallet.co.jp_20250624110419_09ee9d77,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
515,株式会社長崎堂,info@nagasakido.com,経理管理職,経理管理職,2025-06-24 11:04:24,success,526_info@nagasakido.com_20250624110424_cea12216,,【経理管理職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
516,株式会社トライトキャリア,ict-oubo@tryt-group.co.jp,システムサポート,システムサポート,2025-06-24 11:04:30,success,527_ict-oubo@tryt-group.co.jp_20250624110430_7f76491a,,【システムサポートの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
517,CKTS株式会社,info@ckts.co.jp,航空系総合職,航空系総合職,2025-06-24 11:04:35,success,528_info@ckts.co.jp_20250624110435_b8cc66d6,,【航空系総合職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
518,カンセツ産業株式会社,info@kansetu.co.jp,機械設計,機械設計,2025-06-24 11:04:40,success,529_info@kansetu.co.jp_20250624110440_64a1e7d9,,【機械設計の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
519,サードエイジ株式会社,info@thirdage-bin.com,倉庫作業スタッフ,倉庫作業スタッフ,2025-06-24 11:04:45,success,530_info@thirdage-bin.com_20250624110445_23aa9c8f,,【倉庫作業スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
520,株式会社アークスリー,info@arkthree.co.jp,経理スタッフ,経理スタッフ,2025-06-24 11:04:50,success,531_info@arkthree.co.jp_20250624110450_df04517b,,【経理スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
521,近畿日本鉄道株式会社,info@kintetsu.co.jp,鉄道技術職,鉄道技術職,2025-06-24 11:04:56,success,532_info@kintetsu.co.jp_20250624110455_46c01408,,【鉄道技術職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
522,キトラ株式会社,info@kitra-x.co.jp,貿易商社事務,貿易商社事務,2025-06-24 11:05:01,success,533_info@kitra-x.co.jp_20250624110501_3daeb7e2,,【貿易商社事務の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
523,株式会社サンライズ・A・I・大阪,info@sunrise-a-i-osaka.co.jp,経理スタッフ,経理スタッフ,2025-06-24 11:05:06,success,534_info@sunrise-a-i-osaka.co.jp_20250624110506_2f2ff8fb,,【経理スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
524,株式会社アンド・アイ,info@and-i-grp.co.jp,提案営業,提案営業,2025-06-24 11:05:11,success,535_info@and-i-grp.co.jp_20250624110511_1b7c8304,,【提案営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
525,エナジーサプライ株式会社,info@energy-supply.jp,営業職,営業職,2025-06-24 11:05:16,success,536_info@energy-supply.jp_20250624110516_b2effa8f,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
526,株式会社HINO-TEC,info@hino-tec.co.jp,CADオペレーター,CADオペレーター,2025-06-24 11:05:22,success,537_info@hino-tec.co.jp_20250624110521_7ab6f2fa,,【CADオペレーターの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
527,日本化工株式会社,info@n-kasei.co.jp,製造スタッフ,製造スタッフ,2025-06-24 11:05:27,success,538_info@n-kasei.co.jp_20250624110527_15c6f33e,,【製造スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
528,ドリームアドバンス株式会社,info@dreamadvance.jp,店長候補,店長候補,2025-06-24 11:05:32,success,539_info@dreamadvance.jp_20250624110532_6532953b,,【店長候補の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
529,株式会社無限,info@mmmgn.co.jp,WEBマーケター,WEBマーケター,2025-06-24 11:05:37,success,540_info@mmmgn.co.jp_20250624110537_69c2d61b,,【WEBマーケターの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
530,株式会社YSK,info@shaft.co.jp,ルート営業,ルート営業,2025-06-24 11:05:42,success,541_info@shaft.co.jp_20250624110542_ea908133,,【ルート営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
531,株式会社コムアソート,info@comassort.co.jp,ルート営業,ルート営業,2025-06-24 11:05:48,success,542_info@comassort.co.jp_20250624110547_1b1e3676,,【ルート営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
532,株式会社伸和トータルエンジニアリング,info@shinwa-totaleng.co.jp,営業職,営業職,2025-06-24 11:05:53,success,543_info@shinwa-totaleng.co.jp_20250624110553_08c3ff1a,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
533,大阪有機化学工業株式会社,info@ooc.co.jp,研究開発スタッフ,研究開発スタッフ,2025-06-24 11:05:58,success,544_info@ooc.co.jp_20250624110558_d68bfef5,,【研究開発スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
534,関西金網株式会社,info@kwn.co.jp,製造スタッフ,製造スタッフ,2025-06-24 11:06:03,success,545_info@kwn.co.jp_20250624110603_68df34a6,,【製造スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
535,株式会社サンユウ,info@sanyu-cfs.co.jp,設備保全,設備保全,2025-06-24 11:06:08,success,546_info@sanyu-cfs.co.jp_20250624110608_a8a43f4d,,【設備保全の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
536,日本生命保険相互会社,tokyo_asc@nissay.co.jp,エリアサービスコーディネーター,エリアサービスコーディネーター,2025-06-24 11:06:13,success,547_tokyo_asc@nissay.co.jp_20250624110613_dab3fc9d,,【エリアサービスコーディネーターの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
537,株式会社近興,info@kinkho.co.jp,ドライバー,ドライバー,2025-06-24 11:06:19,success,548_info@kinkho.co.jp_20250624110618_8c06bfdd,,【ドライバーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
538,Evand株式会社,info@evand.jp,ITエンジニア,ITエンジニア,2025-06-24 11:06:24,success,549_info@evand.jp_20250624110624_a9b17383,,【ITエンジニアの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
539,株式会社東乃匠,info@tohnosho.co.jp,製造スタッフ,製造スタッフ,2025-06-24 11:06:29,success,550_info@tohnosho.co.jp_20250624110629_1e7e82d3,,【製造スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
540,株式会社中西製作所,info@nakanishi.co.jp,営業職,営業職,2025-06-24 11:06:34,success,551_info@nakanishi.co.jp_20250624110634_c960abb8,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
541,エックスコマース株式会社,info@xcommerce.co.jp,ECサイト運営,ECサイト運営,2025-06-24 11:06:39,success,552_info@xcommerce.co.jp_20250624110639_0ba29bdf,,【ECサイト運営の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
542,トウメイ株式会社,info@tomei.ne.jp,車のサービススタッフ,車のサービススタッフ,2025-06-24 11:06:44,success,553_info@tomei.ne.jp_20250624110644_169769ce,,【車のサービススタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
543,鴻池運輸株式会社,info@konoike.net,品質管理,品質管理,2025-06-24 11:06:49,success,554_info@konoike.net_20250624110649_60825b3a,,【品質管理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
544,エア・ウォーター・ガスプロダクツ株式会社,info@awgp.co.jp,運転管理・保守,運転管理・保守,2025-06-24 11:06:55,success,555_info@awgp.co.jp_20250624110654_e8fb6b1c,,【運転管理・保守の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
545,株式会社SONO,info@sonokousan.co.jp,衛生管理スタッフ,衛生管理スタッフ,2025-06-24 11:07:00,success,556_info@sonokousan.co.jp_20250624110700_75273eb8,,【衛生管理スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
546,沢井製薬株式会社,info@sawai.co.jp,医薬品製造スタッフ,医薬品製造スタッフ,2025-06-24 11:07:05,success,557_info@sawai.co.jp_20250624110705_0e2b8568,,【医薬品製造スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
547,TMTマシナリー株式会社,info@tmt-mc.jp,経理事務,経理事務,2025-06-24 11:07:10,success,558_info@tmt-mc.jp_20250624110710_d348b34a,,【経理事務の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
548,TMTマシナリー株式会社,info@tmt-mc.jp,営業職,営業職,2025-06-24 11:07:15,success,559_info@tmt-mc.jp_20250624110715_5fc7b9ff,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
549,カタオカ産業株式会社,info@kataoka-industry.jp,サービスエンジニア,サービスエンジニア,2025-06-24 11:07:20,success,560_info@kataoka-industry.jp_20250624110720_35da1f03,,【サービスエンジニアの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
550,株式会社メディック,info@medic-grp.co.jp,検査スタッフ,検査スタッフ,2025-06-24 11:07:26,success,561_info@medic-grp.co.jp_20250624110725_52138699,,【検査スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
551,株式会社大久保,info@o-kubo.co.jp,機械オペレーター,機械オペレーター,2025-06-24 11:07:31,success,562_info@o-kubo.co.jp_20250624110731_67708c4e,,【機械オペレーターの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
552,株式会社上治電設,info@uejidensetsu.com,電気工事スタッフ,電気工事スタッフ,2025-06-24 11:07:36,success,563_info@uejidensetsu.com_20250624110736_fc9d1241,,【電気工事スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
553,株式会社タカミエンジ,info@takami-eng.jp,施工管理職,施工管理職,2025-06-24 11:07:41,success,564_info@takami-eng.jp_20250624110741_5ed06a69,,【施工管理職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
554,株式会社日々をCARE,info@hibio.jp,事務職,事務職,2025-06-24 11:07:46,success,565_info@hibio.jp_20250624110746_b0d59908,,【事務職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
555,ファイズオペレーションズ株式会社,info@op.phyz.co.jp,採用管理マネージャー,採用管理マネージャー,2025-06-24 11:07:51,success,566_info@op.phyz.co.jp_20250624110751_4ae8b03c,,【採用管理マネージャーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
556,ケイ・エス・エバーグリーン観光株式会社,info@ks-evergreen.co.jp,配車サポートスタッフ,配車サポートスタッフ,2025-06-24 11:07:57,success,567_info@ks-evergreen.co.jp_20250624110756_b099827a,,【配車サポートスタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
557,医療法人ガラシア会,info@gratia.or.jp,総務,総務,2025-06-24 11:08:02,success,568_info@gratia.or.jp_20250624110802_43e639c0,,【総務の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
558,四國機械設備株式会社,info@skes.co.jp,設備施工管理,設備施工管理,2025-06-24 11:08:07,success,569_info@skes.co.jp_20250624110807_408c55f1,,【設備施工管理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
559,有限会社ケーエム・オン,info@km-on.com,CADオペレーター,CADオペレーター,2025-06-24 11:08:12,success,570_info@km-on.com_20250624110812_3996badc,,【CADオペレーターの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
560,株式会社エクシードジャパン,info@exceedjapan.co.jp,キャリアアドバイザー,キャリアアドバイザー,2025-06-24 11:08:17,success,571_info@exceedjapan.co.jp_20250624110817_7a328681,,【キャリアアドバイザーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
561,浪速鉄工株式会社,info@naniwa-iron.com,総合職,総合職,2025-06-24 11:08:23,success,572_info@naniwa-iron.com_20250624110822_12b4e861,,【総合職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
562,アサヒ軽金属工業株式会社,info@asahikei.co.jp,デザイナー,デザイナー,2025-06-24 11:08:28,success,573_info@asahikei.co.jp_20250624110828_e100788f,,【デザイナーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
563,株式会社ジェイアール西日本フードサービスネット,info@jwfsn.com,店長候補,店長候補,2025-06-24 11:08:33,success,574_info@jwfsn.com_20250624110833_815a8940,,【店長候補の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
564,株式会社La Liberte,info@la-liberte.co.jp,キャリアアドバイザー,キャリアアドバイザー,2025-06-24 11:08:38,success,575_info@la-liberte.co.jp_20250624110838_efde396d,,【キャリアアドバイザーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
565,北港運輸株式会社,info@hokkohu.co.jp,物流管理事務,物流管理事務,2025-06-24 11:08:43,success,576_info@hokkohu.co.jp_20250624110843_8e278b3f,,【物流管理事務の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
566,リック株式会社,info@lic-net.jp,提案営業,提案営業,2025-06-24 11:08:48,success,578_info@lic-net.jp_20250624110848_c58d222b,,【提案営業の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
567,株式会社上垣金属製作所,info@uks33.co.jp,製造スタッフ,製造スタッフ,2025-06-24 11:08:54,success,579_info@uks33.co.jp_20250624110853_a21619f9,,【製造スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
568,株式会社南海,info@color-atlas.co.jp,カラークリエイター,カラークリエイター,2025-06-24 11:08:59,success,580_info@color-atlas.co.jp_20250624110859_972cab9b,,【カラークリエイターの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
569,ヒューマンステージ株式会社,info@human.or.jp,事務スタッフ,事務スタッフ,2025-06-24 11:09:04,success,581_info@human.or.jp_20250624110904_02bd7316,,【事務スタッフの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
570,阪神高速パトロール株式会社,info@hanshin-patrol.co.jp,パトロール隊員,パトロール隊員,2025-06-24 11:09:09,success,582_info@hanshin-patrol.co.jp_20250624110909_e6bc3324,,【パトロール隊員の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
571,株式会社ジャッツ関西,info@jats-kansai.co.jp,通訳,通訳,2025-06-24 11:09:14,success,583_info@jats-kansai.co.jp_20250624110914_48c7be55,,【通訳の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
572,タイヘイ建築株式会社,info@taihei-k.com,建築施工管理,建築施工管理,2025-06-24 11:09:19,success,584_info@taihei-k.com_20250624110919_b3545920,,【建築施工管理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
573,株式会社ホクトス・プランニング,info@feliz.jpn.com,広報・PR,広報・PR,2025-06-24 11:09:25,success,585_info@feliz.jpn.com_20250624110924_5ef0cd97,,【広報・PRの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
574,株式会社カワデン,info@kk-kawaden.co.jp,機械設計,機械設計,2025-06-24 11:09:30,success,586_info@kk-kawaden.co.jp_20250624110930_7b4f1c47,,【機械設計の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
575,株式会社ギフトプラスデザイン,info@gift-design.work,設計職,設計職,2025-06-24 11:09:35,success,587_info@gift-design.work_20250624110935_ce4f8c25,,【設計職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
576,日建株式会社,saiyo@nikken-r.co.jp,近距離ルート配送,近距離ルート配送,2025-06-24 11:09:40,success,588_saiyo@nikken-r.co.jp_20250624110940_69fb0b22,,【近距離ルート配送の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
577,株式会社フラッグシップ経営,info@flagship-keiei.co.jp,補助金申請アシスタント,補助金申請アシスタント,2025-06-24 11:09:45,success,589_info@flagship-keiei.co.jp_20250624110945_9f367262,,【補助金申請アシスタントの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
578,株式会社TryHard Management,info@tryhard.me,経理,経理,2025-06-24 11:09:51,success,590_info@tryhard.me_20250624110950_4ae4042f,,【経理の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
579,株式会社DTS WEST,info@dtswest.co.jp,システムエンジニア,システムエンジニア,2025-06-24 11:09:56,success,591_info@dtswest.co.jp_20250624110956_6cb9cef5,,【システムエンジニアの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
580,三徳アスリード株式会社,info@3109aslead.jp,法人営業職,法人営業職,2025-06-24 11:10:08,success,592_info@3109aslead.jp_20250624111001_d9d403c3,,【法人営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
581,株式会社Asue,info@asue-group.com,営業職,営業職,2025-06-24 11:10:13,success,593_info@asue-group.com_20250624111013_f5faa6f1,,【営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
582,株式会社ENJIN,info@enjinweb.com,PR・マーケティング,PR・マーケティング,2025-06-24 11:10:18,success,594_info@enjinweb.com_20250624111018_b2c26491,,【PR・マーケティングの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
583,株式会社アンビテック,info@ambitech.jp,システムエンジニア,システムエンジニア,2025-06-24 11:10:23,success,595_info@ambitech.jp_20250624111023_d499676c,,【システムエンジニアの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
584,インテック株式会社,info@intec-instruments.co.jp,セールスエンジニア,セールスエンジニア,2025-06-24 11:10:28,success,596_info@intec-instruments.co.jp_20250624111028_56190206,,【セールスエンジニアの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
585,株式会社ロブテックス,info@lobtex.co.jp,商品開発・営業職,商品開発・営業職,2025-06-24 11:10:34,success,597_info@lobtex.co.jp_20250624111033_8abccbcd,,【商品開発・営業職の人材採用を強化しませんか？】株式会社HUGANからのご提案,,
586,大阪市高速電気軌道株式会社,info@osakametro.co.jp,オンデマンドバスドライバー,オンデマンドバスドライバー,2025-06-24 11:10:39,success,599_info@osakametro.co.jp_20250624111039_c81eb6bd,,【オンデマンドバスドライバーの人材採用を強化しませんか？】株式会社HUGANからのご提案,,
